epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,2289.04,1.2054,0.78926,1.1536,0.69727,0.81447,0.84437,0.5018,1.57271,1.06574,1.3072,0.000712214,0.000712214,0.000712214
154,2304.55,1.16835,0.78152,1.01898,0.7309,0.81151,0.84301,0.49235,1.55339,1.06216,1.30323,0.000707498,0.000707498,0.000707498
155,2318.85,1.2081,0.7552,1.09762,0.7309,0.81151,0.84301,0.49235,1.55339,1.06216,1.30323,0.000702782,0.000702782,0.000702782
156,2333.28,1.12651,0.74281,1.0442,0.73498,0.76023,0.83068,0.46366,1.63612,1.06043,1.3593,0.000698066,0.000698066,0.000698066
157,2347.66,1.2372,0.76463,1.0639,0.73498,0.76023,0.83068,0.46366,1.63612,1.06043,1.3593,0.000693351,0.000693351,0.000693351
158,2363.95,1.14798,0.73988,1.03646,0.76615,0.77778,0.85261,0.475,1.63266,1.04585,1.36515,0.000688635,0.000688635,0.000688635
159,2378.21,1.17251,0.7767,1.10648,0.76615,0.77778,0.85261,0.475,1.63266,1.04585,1.36515,0.000683919,0.000683919,0.000683919
160,2393.61,1.22625,0.77823,1.05949,0.73893,0.76023,0.87734,0.50148,1.62514,1.03877,1.36188,0.000679204,0.000679204,0.000679204
161,2408.11,1.16246,0.74358,1.06603,0.73893,0.76023,0.87734,0.50148,1.62514,1.03877,1.36188,0.000674488,0.000674488,0.000674488
162,2421.78,1.13929,0.77586,1.06633,0.68142,0.76023,0.85165,0.47056,1.66424,1.05502,1.37515,0.000669772,0.000669772,0.000669772
163,2436.34,1.14279,0.83323,1.03639,0.68142,0.76023,0.85165,0.47056,1.66424,1.05502,1.37515,0.000665057,0.000665057,0.000665057
164,2451.37,1.12387,0.73657,1.06589,0.63474,0.76023,0.84999,0.45729,1.70447,1.08405,1.40517,0.000660341,0.000660341,0.000660341
165,2466.35,1.18828,0.76484,1.03148,0.63474,0.76023,0.84999,0.45729,1.70447,1.08405,1.40517,0.000655625,0.000655625,0.000655625
166,2480.58,1.12359,0.76092,1.08613,0.63731,0.77778,0.87112,0.4373,1.69393,1.07481,1.42851,0.000650909,0.000650909,0.000650909
167,2494.79,1.15311,0.7537,1.06222,0.63731,0.77778,0.87112,0.4373,1.69393,1.07481,1.42851,0.000646194,0.000646194,0.000646194
168,2509.67,1.18269,0.76722,1.02744,0.60188,0.76023,0.88471,0.45874,1.72202,1.05587,1.46042,0.000641478,0.000641478,0.000641478
169,2523.42,1.16907,0.78285,1.0628,0.60188,0.76023,0.88471,0.45874,1.72202,1.05587,1.46042,0.000636762,0.000636762,0.000636762
170,2537.73,1.13374,0.82275,1.05034,0.5952,0.76023,0.88307,0.44738,1.71168,1.03925,1.44826,0.000632047,0.000632047,0.000632047
171,2552.16,1.1267,0.74657,1.0345,0.5952,0.76023,0.88307,0.44738,1.71168,1.03925,1.44826,0.000627331,0.000627331,0.000627331
172,2567.23,1.21585,0.808,1.02999,0.59039,0.76023,0.89865,0.44214,1.71597,1.05132,1.45611,0.000622615,0.000622615,0.000622615
